id_bdq,foco_id,lat,lon,data_pas,pais,estado,municipio,bioma
 1607783602 ,f6a15226-6ea6-3793-a380-cc528468fe37,  -16.352850 ,  -42.003370 ,2022-10-19 16:20:00,Brasil,MINAS GERAIS,RUBELITA,Mata Atlântica
 1607783605 ,86fe1cc4-3a85-3a4d-9835-a2b5137812ec,  -16.383160 ,  -41.692970 ,2022-10-19 16:20:00,Brasil,MINAS GERAIS,COMERCINHO,Mata Atlântica
 1607783607 ,03ac59e0-8bc4-3919-8fc2-8372089a826b,  -16.585070 ,  -41.847040 ,2022-10-19 16:20:00,Brasil,MINAS GERAIS,ITINGA,Mata Atlântica
 1607783613 ,71ceae59-4939-3a93-bd6e-fb68db94a219,  -16.739410 ,  -41.801190 ,2022-10-19 16:20:00,Brasil,MINAS GERAIS,ITINGA,Mata Atlântica
 1607783617 ,cc7bf468-0d88-3a20-8295-3a07d860932d,  -16.750560 ,  -41.799550 ,2022-10-19 16:20:00,Brasil,MINAS GERAIS,ITINGA,Mata Atlântica
 1607783620 ,d5d58f8d-e17e-37b0-b864-1232ff722dd3,  -16.771940 ,  -42.263900 ,2022-10-19 16:20:00,Brasil,MINAS GERAIS,VIRGEM DA LAPA,Mata Atlântica
 1607783624 ,87095cee-b490-3e2c-9084-ba4c41e21f58,  -16.773840 ,  -42.279980 ,2022-10-19 16:20:00,Brasil,MINAS GERAIS,VIRGEM DA LAPA,Mata Atlântica
 1607783628 ,093f8ccd-0593-3fd6-a79c-8d4059729bd9,  -16.775840 ,  -42.296910 ,2022-10-19 16:20:00,Brasil,MINAS GERAIS,VIRGEM DA LAPA,Mata Atlântica
 1607783632 ,17663c55-1be3-3ce4-9b56-1195967c5211,  -17.426670 ,  -41.539810 ,2022-10-19 16:20:00,Brasil,MINAS GERAIS,CATUJI,Mata Atlântica
 1607783635 ,5077abce-83d5-3941-b385-5fffc970156a,  -17.950580 ,  -42.320850 ,2022-10-19 16:20:00,Brasil,MINAS GERAIS,ÁGUA BOA,Mata Atlântica
 1607783638 ,c7039329-331d-35c7-884e-28bd737c203f,  -17.956640 ,  -42.325040 ,2022-10-19 16:20:00,Brasil,MINAS GERAIS,ÁGUA BOA,Mata Atlântica
 1607783644 ,61c91c54-7036-3cee-ba44-19df2bbedbe5,  -18.063730 ,  -42.403870 ,2022-10-19 16:20:00,Brasil,MINAS GERAIS,ÁGUA BOA,Mata Atlântica
 1607783648 ,ae2adc75-7e33-36d0-bf9f-2e616075226f,  -20.095910 ,  -44.352010 ,2022-10-19 16:20:00,Brasil,MINAS GERAIS,IGARAPÉ,Mata Atlântica
 1607783651 ,5a9f8e67-0fb2-3db3-8593-f069f453773e,  -20.099410 ,  -44.344390 ,2022-10-19 16:20:00,Brasil,MINAS GERAIS,IGARAPÉ,Mata Atlântica
 1607784234 ,302d172d-ca97-3913-a118-2176416cdcf4,  -16.189570 ,  -45.606210 ,2022-10-19 16:20:00,Brasil,MINAS GERAIS,SÃO ROMÃO,Cerrado
 1607784236 ,8bb6e3ea-177e-3192-8607-55c9eb4443db,  -16.632730 ,  -42.330140 ,2022-10-19 16:20:00,Brasil,MINAS GERAIS,VIRGEM DA LAPA,Cerrado
 1607784237 ,8e573dcd-eafa-3dde-b797-bf96de28eadf,  -17.145880 ,  -45.524240 ,2022-10-19 16:20:00,Brasil,MINAS GERAIS,JOÃO PINHEIRO,Cerrado
 1607784240 ,ebeaa200-1e8f-3039-af73-7b00f9c5760d,  -17.148160 ,  -45.546260 ,2022-10-19 16:20:00,Brasil,MINAS GERAIS,JOÃO PINHEIRO,Cerrado
 1607784241 ,85f21bd4-657a-3930-8848-7d7180e951d6,  -17.609320 ,  -44.935670 ,2022-10-19 16:20:00,Brasil,MINAS GERAIS,VÁRZEA DA PALMA,Cerrado
 1607784243 ,206b9067-5b18-39a9-b56b-76e773fcd62d,  -17.614710 ,  -44.954700 ,2022-10-19 16:20:00,Brasil,MINAS GERAIS,VÁRZEA DA PALMA,Cerrado
 1607880751 ,3ebdd8f7-e165-3268-9ea4-9aa82f4fd62d,  -14.602950 ,  -44.592720 ,2022-10-20 17:02:00,Brasil,MINAS GERAIS,MONTALVÂNIA,Cerrado
 1607880754 ,929270f4-4860-3798-815c-0c86ab4991d4,  -14.769760 ,  -44.615890 ,2022-10-20 17:02:00,Brasil,MINAS GERAIS,CÔNEGO MARINHO,Cerrado
 1607880755 ,06addf41-b185-340d-96ab-391f1b609bd3,  -14.687480 ,  -43.972550 ,2022-10-20 17:02:00,Brasil,MINAS GERAIS,MANGA,Caatinga
